Results for running random tests:
randomtestadventurer.c:
RANDOM TESTING: adventurer 
SEED 6 FAIL: expected hand count = 10, actual = 6
SEED 334 FAIL: expected hand count = 338, actual = 334
SEED 146 FAIL: expected hand count = 150, actual = 146
SEED 250 FAIL: expected hand count = 254, actual = 250
SEED 127 FAIL: expected hand count = 131, actual = 127
SEED 337 FAIL: expected hand count = 341, actual = 337
SEED 464 FAIL: expected hand count = 468, actual = 464
SEED 376 FAIL: expected hand count = 380, actual = 376
SEED 108 FAIL: expected hand count = 112, actual = 108
SEED 1447956198 FAIL: expected treasures in hand = 21, actual = 22
SEED 119 FAIL: expected hand count = 123, actual = 119
SEED 83 FAIL: expected hand count = 87, actual = 83
SEED 1879958700 FAIL: expected treasures in hand = 41, actual = 43
SEED 368 FAIL: expected hand count = 372, actual = 368
SEED 443 FAIL: expected hand count = 447, actual = 443
SEED 35 FAIL: expected hand count = 39, actual = 35
SEED 426 FAIL: expected hand count = 430, actual = 426
SEED 1708930464 FAIL: expected treasures in hand = 18, actual = 19
SEED 161 FAIL: expected hand count = 165, actual = 161
SEED 56 FAIL: expected hand count = 60, actual = 56
SEED 400 FAIL: expected hand count = 404, actual = 400
SEED 1433719572 FAIL: expected treasures in hand = 28, actual = 30
SEED 268 FAIL: expected hand count = 272, actual = 268
SEED 242 FAIL: expected hand count = 246, actual = 242
SEED 218 FAIL: expected hand count = 222, actual = 218
SEED 620040113 FAIL: expected treasures in hand = 41, actual = 40
SEED 325 FAIL: expected hand count = 329, actual = 325
SEED 42 FAIL: expected hand count = 46, actual = 42
SEED 72888697 FAIL: expected treasures in hand = 51, actual = 50
SEED 332 FAIL: expected hand count = 336, actual = 332
SEED 2013175394 FAIL: expected treasures in hand = 42, actual = 41
SEED 404 FAIL: expected hand count = 408, actual = 404
SEED 611618991 FAIL: expected treasures in hand = 30, actual = 31
SEED 271 FAIL: expected hand count = 275, actual = 271
SEED 111 FAIL: expected hand count = 115, actual = 111
SEED 220 FAIL: expected hand count = 224, actual = 220
SEED 420716140 FAIL: expected treasures in hand = 13, actual = 14
SEED 128 FAIL: expected hand count = 132, actual = 128
SEED 1095696064 FAIL: expected treasures in hand = 9, actual = 10
SEED 37 FAIL: expected hand count = 41, actual = 37
SEED 241650402 FAIL: expected treasures in hand = 50, actual = 49
SEED 477 FAIL: expected hand count = 481, actual = 477
SEED 942918650 FAIL: expected treasures in hand = 6, actual = 7
SEED 45 FAIL: expected hand count = 49, actual = 45
SEED 1 FAIL: expected hand count = 5, actual = 1
SEED 1974838817 FAIL: expected treasures in hand = 35, actual = 36
SEED 348 FAIL: expected hand count = 352, actual = 348
SEED 818760611 FAIL: expected treasures in hand = 61, actual = 62
SEED 491 FAIL: expected hand count = 495, actual = 491
SEED 474501835 FAIL: expected treasures in hand = 42, actual = 44
SEED 451 FAIL: expected hand count = 455, actual = 451
SEED 54 FAIL: expected hand count = 58, actual = 54
SEED 194 FAIL: expected hand count = 198, actual = 194
SEED 318 FAIL: expected hand count = 322, actual = 318
SEED 86 FAIL: expected hand count = 90, actual = 86
SEED 492 FAIL: expected hand count = 496, actual = 492
SEED 1431546092 FAIL: expected treasures in hand = 43, actual = 42
SEED 325 FAIL: expected hand count = 329, actual = 325
SEED 509271754 FAIL: expected treasures in hand = 22, actual = 23
SEED 252 FAIL: expected hand count = 256, actual = 252
SEED 933172651 FAIL: expected treasures in hand = 37, actual = 38
SEED 248 FAIL: expected hand count = 252, actual = 248
SEED 364 FAIL: expected hand count = 368, actual = 364
SEED 98748010 FAIL: expected treasures in hand = 27, actual = 28
SEED 190 FAIL: expected hand count = 194, actual = 190
SEED 242 FAIL: expected hand count = 246, actual = 242
SEED 434 FAIL: expected hand count = 438, actual = 434
SEED 62 FAIL: expected hand count = 66, actual = 62
SEED 844826988 FAIL: expected treasures in hand = 8, actual = 9
SEED 31 FAIL: expected hand count = 35, actual = 31
SEED 405 FAIL: expected hand count = 409, actual = 405
SEED 22 FAIL: expected hand count = 26, actual = 22
SEED 489 FAIL: expected hand count = 493, actual = 489
SEED 25874036 FAIL: expected treasures in hand = 45, actual = 46
SEED 377 FAIL: expected hand count = 381, actual = 377
SEED 1442219672 FAIL: expected treasures in hand = 40, actual = 41
SEED 409 FAIL: expected hand count = 413, actual = 409
SEED 767770008 FAIL: expected treasures in hand = 48, actual = 49
SEED 415 FAIL: expected hand count = 419, actual = 415
SEED 1473676298 FAIL: expected treasures in hand = 50, actual = 51
SEED 428 FAIL: expected hand count = 432, actual = 428
SEED 143 FAIL: expected hand count = 147, actual = 143
SEED 921715214 FAIL: expected treasures in hand = 44, actual = 43
SEED 379 FAIL: expected hand count = 383, actual = 379
SEED 313 FAIL: expected hand count = 317, actual = 313
SEED 716597676 FAIL: expected treasures in hand = 50, actual = 51
SEED 477 FAIL: expected hand count = 481, actual = 477
SEED 1325428113 FAIL: expected treasures in hand = 22, actual = 23
SEED 154 FAIL: expected hand count = 158, actual = 154
SEED 1672121874 FAIL: expected treasures in hand = 7, actual = 9
SEED 60 FAIL: expected hand count = 64, actual = 60
SEED 4 FAIL: expected hand count = 8, actual = 4
SEED 1079267625 FAIL: expected treasures in hand = 60, actual = 61
SEED 436 FAIL: expected hand count = 440, actual = 436
SEED 1176260693 FAIL: expected treasures in hand = 46, actual = 45
SEED 355 FAIL: expected hand count = 359, actual = 355
SEED 479 FAIL: expected hand count = 483, actual = 479
SEED 1238923334 FAIL: expected treasures in hand = 49, actual = 50
SEED 440 FAIL: expected hand count = 444, actual = 440
SEED 385 FAIL: expected hand count = 389, actual = 385
SEED 391 FAIL: expected hand count = 395, actual = 391
SEED 308716532 FAIL: expected treasures in hand = 21, actual = 22
SEED 101 FAIL: expected hand count = 105, actual = 101
SEED 409 FAIL: expected hand count = 413, actual = 409
SEED 1864988038 FAIL: expected treasures in hand = 23, actual = 24
SEED 258 FAIL: expected hand count = 262, actual = 258
SEED 52859768 FAIL: expected treasures in hand = 55, actual = 57
SEED 414 FAIL: expected hand count = 418, actual = 414
SEED 331 FAIL: expected hand count = 335, actual = 331
SEED 506739936 FAIL: expected treasures in hand = 47, actual = 48
SEED 396 FAIL: expected hand count = 400, actual = 396
SEED 414 FAIL: expected hand count = 418, actual = 414
SEED 469 FAIL: expected hand count = 473, actual = 469
SEED 92 FAIL: expected hand count = 96, actual = 92
SEED 1674930929 FAIL: expected treasures in hand = 33, actual = 32
