randomtestcard2.c:
RANDOM TESTING: cutpurse 
SEED 1313230292 FAIL: Player's copper = 103, expected = 2
SEED 784357253 FAIL: Player's coins increased = -1, expected = 2
SEED 784357253 FAIL: Player's copper = 120, expected = 2
SEED 784357253 FAIL: Player's copper = 116, expected = 2
SEED 784357253 FAIL: Player's copper = 118, expected = 2
SEED 2075799886 FAIL: Player's coins increased = 0, expected = 2
SEED 2075799886 FAIL: Player's copper = 158, expected = 2
SEED 2087353761 FAIL: Player's coins increased = 0, expected = 2
SEED 2087353761 FAIL: Player's copper = 152, expected = 2
SEED 1760041735 FAIL: Player's coins increased = 0, expected = 2
SEED 1760041735 FAIL: Player's copper = 128, expected = 2
SEED 204431165 FAIL: Player's coins increased = 0, expected = 2
SEED 204431165 FAIL: Player's copper = 31, expected = 2
SEED 204431165 FAIL: Player's copper = 23, expected = 2
SEED 204431165 FAIL: Player's copper = 20, expected = 2
SEED 2039053250 FAIL: Player's coins increased = 0, expected = 2
SEED 2039053250 FAIL: Player's copper = 76, expected = 2
SEED 2039053250 FAIL: Player's copper = 67, expected = 2
SEED 818431374 FAIL: Player's coins increased = 0, expected = 2
SEED 818431374 FAIL: Player's copper = 67, expected = 2
SEED 818431374 FAIL: Player's copper = 67, expected = 2
SEED 1390568947 FAIL: Player's coins increased = 0, expected = 2
SEED 1390568947 FAIL: Player's copper = 102, expected = 2
SEED 1390568947 FAIL: Player's copper = 93, expected = 2
SEED 822563082 FAIL: Player's coins increased = 0, expected = 2
SEED 822563082 FAIL: Player's copper = 100, expected = 2
SEED 1117559338 FAIL: Player's coins increased = -1, expected = 2
SEED 1117559338 FAIL: Player's copper = 85, expected = 2
SEED 1074533264 FAIL: Player's coins increased = 0, expected = 2
SEED 1074533264 FAIL: Player's copper = 68, expected = 2
SEED 1074533264 FAIL: Player's copper = 70, expected = 2
SEED 1074533264 FAIL: Player's copper = 66, expected = 2
SEED 934424044 FAIL: Player's coins increased = 0, expected = 2
SEED 934424044 FAIL: Player's copper = 124, expected = 2
SEED 1693781643 FAIL: Player's coins increased = 0, expected = 2
SEED 1693781643 FAIL: Player's copper = 120, expected = 2
SEED 2099560787 FAIL: Player's coins increased = 0, expected = 2
SEED 2099560787 FAIL: Player's copper = 87, expected = 2
SEED 2099560787 FAIL: Player's copper = 96, expected = 2
SEED 2099560787 FAIL: Player's copper = 96, expected = 2
SEED 974792163 FAIL: Player's coins increased = 0, expected = 2
SEED 974792163 FAIL: Player's copper = 113, expected = 2
SEED 974792163 FAIL: Player's copper = 115, expected = 2
SEED 1689810240 FAIL: Player's coins increased = 0, expected = 2
SEED 1689810240 FAIL: Player's copper = 53, expected = 2
SEED 1689810240 FAIL: Player's copper = 43, expected = 2
SEED 1689810240 FAIL: Player's copper = 47, expected = 2
SEED 436688767 FAIL: Player's coins increased = 0, expected = 2
SEED 436688767 FAIL: Player's copper = 63, expected = 2
SEED 1161425544 FAIL: Player's coins increased = -1, expected = 2
SEED 1161425544 FAIL: Player's copper = 107, expected = 2
SEED 1161425544 FAIL: Player's copper = 103, expected = 2
SEED 1161425544 FAIL: Player's copper = 99, expected = 2
SEED 1425954976 FAIL: Player's coins increased = 0, expected = 2
SEED 1425954976 FAIL: Player's copper = 91, expected = 2
SEED 1425954976 FAIL: Player's copper = 96, expected = 2
SEED 1425954976 FAIL: Player's copper = 99, expected = 2
SEED 652126521 FAIL: Player's coins increased = 0, expected = 2
SEED 652126521 FAIL: Player's copper = 60, expected = 2
SEED 1523769564 FAIL: Player's coins increased = 0, expected = 2
SEED 1523769564 FAIL: Player's copper = 97, expected = 2
SEED 1523769564 FAIL: Player's copper = 94, expected = 2
SEED 2105220391 FAIL: Player's coins increased = -1, expected = 2
SEED 2105220391 FAIL: Player's copper = 3, expected = 2
SEED 2105220391 FAIL: Player's copper = 3, expected = 2
SEED 609115422 FAIL: Player's coins increased = 0, expected = 2
SEED 609115422 FAIL: Player's copper = 9, expected = 2
SEED 609115422 FAIL: Player's copper = 8, expected = 2
SEED 609115422 FAIL: Player's copper = 5, expected = 2
SEED 1057716854 FAIL: Player's coins increased = 0, expected = 2
SEED 1057716854 FAIL: Player's copper = 141, expected = 2
SEED 1057716854 FAIL: Player's copper = 136, expected = 2
SEED 1057716854 FAIL: Player's copper = 133, expected = 2
SEED 2110853265 FAIL: Player's coins increased = 0, expected = 2
SEED 2110853265 FAIL: Player's copper = 64, expected = 2
SEED 2110853265 FAIL: Player's copper = 50, expected = 2
SEED 1506280083 FAIL: Player's coins increased = -1, expected = 2
SEED 1506280083 FAIL: Player's copper = 66, expected = 2
SEED 128607181 FAIL: Player's coins increased = 0, expected = 2
SEED 128607181 FAIL: Player's copper = 171, expected = 2
SEED 128607181 FAIL: Player's copper = 158, expected = 2
SEED 128607181 FAIL: Player's copper = 168, expected = 2
SEED 575989157 FAIL: Player's coins increased = 0, expected = 2
SEED 575989157 FAIL: Player's copper = 131, expected = 2
SEED 575989157 FAIL: Player's copper = 128, expected = 2
SEED 575989157 FAIL: Player's copper = 137, expected = 2
SEED 415196578 FAIL: Player's coins increased = 0, expected = 2
SEED 415196578 FAIL: Player's copper = 141, expected = 2
SEED 415196578 FAIL: Player's copper = 143, expected = 2
SEED 2076422558 FAIL: Player's coins increased = 0, expected = 2
SEED 2076422558 FAIL: Player's copper = 142, expected = 2
SEED 792762134 FAIL: Player's coins increased = 0, expected = 2
SEED 792762134 FAIL: Player's copper = 2, expected = 2
SEED 792762134 FAIL: Player's copper = 2, expected = 2
SEED 1066059739 FAIL: Player's coins increased = 0, expected = 2
SEED 1066059739 FAIL: Player's copper = 79, expected = 2
SEED 1066059739 FAIL: Player's copper = 66, expected = 2
SEED 520902804 FAIL: Player's coins increased = 0, expected = 2
SEED 520902804 FAIL: Player's copper = 27, expected = 2
SEED 520902804 FAIL: Player's copper = 35, expected = 2
SEED 520902804 FAIL: Player's copper = 29, expected = 2
SEED 1426738780 FAIL: Player's coins increased = -1, expected = 2
SEED 1426738780 FAIL: Player's copper = 118, expected = 2
SEED 1426738780 FAIL: Player's copper = 119, expected = 2
SEED 1724827029 FAIL: Player's coins increased = -2, expected = 2
SEED 1724827029 FAIL: Player's copper = 146, expected = 2
SEED 1724827029 FAIL: Player's copper = 141, expected = 2
SEED 1562107329 FAIL: Player's coins increased = 0, expected = 2
SEED 1562107329 FAIL: Player's copper = 73, expected = 2
SEED 1562107329 FAIL: Player's copper = 85, expected = 2
SEED 1562107329 FAIL: Player's copper = 70, expected = 2
SEED 1436720758 FAIL: Player's coins increased = 0, expected = 2
SEED 1436720758 FAIL: Player's copper = 10, expected = 2
SEED 1436720758 FAIL: Player's copper = 16, expected = 2
SEED 1436720758 FAIL: Player's copper = 20, expected = 2
SEED 1176732824 FAIL: Player's coins increased = 0, expected = 2
SEED 1176732824 FAIL: Player's copper = 20, expected = 2
SEED 1176732824 FAIL: Player's copper = 30, expected = 2
SEED 1661216245 FAIL: Player's coins increased = 0, expected = 2
SEED 1661216245 FAIL: Player's copper = 46, expected = 2
SEED 1661216245 FAIL: Player's copper = 43, expected = 2
SEED 1661216245 FAIL: Player's copper = 41, expected = 2
SEED 1547821438 FAIL: Player's coins increased = -1, expected = 2
SEED 1547821438 FAIL: Player's copper = 65, expected = 2
SEED 83127001 FAIL: Player's coins increased = 0, expected = 2
SEED 83127001 FAIL: Player's copper = 141, expected = 2
SEED 83127001 FAIL: Player's copper = 137, expected = 2
SEED 1185285004 FAIL: Player's coins increased = 0, expected = 2
SEED 1185285004 FAIL: Player's copper = 143, expected = 2
SEED 394429121 FAIL: Player's coins increased = -1, expected = 2
SEED 394429121 FAIL: Player's copper = 156, expected = 2
SEED 394429121 FAIL: Player's copper = 148, expected = 2
SEED 394429121 FAIL: Player's copper = 164, expected = 2
SEED 38109660 FAIL: Player's coins increased = 0, expected = 2
SEED 38109660 FAIL: Player's copper = 34, expected = 2
SEED 38109660 FAIL: Player's copper = 45, expected = 2
SEED 1794748490 FAIL: Player's coins increased = 0, expected = 2
SEED 1794748490 FAIL: Player's copper = 112, expected = 2
SEED 1794748490 FAIL: Player's copper = 116, expected = 2
SEED 1081095052 FAIL: Player's coins increased = 0, expected = 2
SEED 1081095052 FAIL: Player's copper = 36, expected = 2
SEED 1081095052 FAIL: Player's copper = 34, expected = 2
SEED 1081095052 FAIL: Player's copper = 43, expected = 2
SEED 1391836060 FAIL: Player's coins increased = 0, expected = 2
SEED 1391836060 FAIL: Player's copper = 104, expected = 2
SEED 1391836060 FAIL: Player's copper = 97, expected = 2
SEED 846140376 FAIL: Player's coins increased = 0, expected = 2
SEED 846140376 FAIL: Player's copper = 72, expected = 2
SEED 2143502833 FAIL: Player's coins increased = 0, expected = 2
SEED 2143502833 FAIL: Player's copper = 109, expected = 2
SEED 2143502833 FAIL: Player's copper = 122, expected = 2
SEED 2143502833 FAIL: Player's copper = 135, expected = 2
SEED 670316776 FAIL: Player's coins increased = 0, expected = 2
SEED 670316776 FAIL: Player's copper = 96, expected = 2
SEED 670316776 FAIL: Player's copper = 117, expected = 2
SEED 670316776 FAIL: Player's copper = 122, expected = 2
SEED 1027688001 FAIL: Player's coins increased = -1, expected = 2
SEED 1027688001 FAIL: Player's copper = 38, expected = 2
SEED 113601187 FAIL: Player's coins increased = 0, expected = 2
SEED 113601187 FAIL: Player's copper = 13, expected = 2
SEED 113601187 FAIL: Player's copper = 13, expected = 2
SEED 113601187 FAIL: Player's copper = 11, expected = 2
SEED 2024166138 FAIL: Player's coins increased = -1, expected = 2
SEED 2024166138 FAIL: Player's copper = 72, expected = 2
SEED 1223160660 FAIL: Player's coins increased = 0, expected = 2
SEED 1223160660 FAIL: Player's copper = 76, expected = 2
SEED 1223160660 FAIL: Player's copper = 77, expected = 2
SEED 1223160660 FAIL: Player's copper = 83, expected = 2
SEED 572433895 FAIL: Player's coins increased = -1, expected = 2
SEED 572433895 FAIL: Player's copper = 147, expected = 2
SEED 572433895 FAIL: Player's copper = 123, expected = 2
SEED 572433895 FAIL: Player's copper = 128, expected = 2
SEED 467409438 FAIL: Player's coins increased = 0, expected = 2
SEED 467409438 FAIL: Player's copper = 24, expected = 2
SEED 2052721528 FAIL: Player's coins increased = 0, expected = 2
SEED 2052721528 FAIL: Player's copper = 177, expected = 2
SEED 2052721528 FAIL: Player's copper = 153, expected = 2
SEED 525504175 FAIL: Player's coins increased = 0, expected = 2
SEED 525504175 FAIL: Player's copper = 164, expected = 2
SEED 143339879 FAIL: Player's coins increased = 0, expected = 2
SEED 143339879 FAIL: Player's copper = 52, expected = 2
SEED 143339879 FAIL: Player's copper = 56, expected = 2
SEED 143339879 FAIL: Player's copper = 55, expected = 2
SEED 135541816 FAIL: Player's coins increased = 0, expected = 2
SEED 135541816 FAIL: Player's copper = 147, expected = 2
SEED 135541816 FAIL: Player's copper = 154, expected = 2
SEED 135541816 FAIL: Player's copper = 167, expected = 2
SEED 1583981241 FAIL: Player's coins increased = 0, expected = 2
SEED 1583981241 FAIL: Player's copper = 3, expected = 2
SEED 821369607 FAIL: Player's coins increased = 0, expected = 2
SEED 821369607 FAIL: Player's copper = 87, expected = 2
SEED 495484969 FAIL: Player's coins increased = 0, expected = 2
SEED 495484969 FAIL: Player's copper = 48, expected = 2
SEED 1832753092 FAIL: Player's coins increased = -1, expected = 2
SEED 1832753092 FAIL: Player's copper = 79, expected = 2
SEED 1946038339 FAIL: Player's coins increased = -2, expected = 2
SEED 1946038339 FAIL: Player's copper = 64, expected = 2
SEED 830562941 FAIL: Player's coins increased = 0, expected = 2
SEED 830562941 FAIL: Player's copper = 160, expected = 2
SEED 430708145 FAIL: Player's coins increased = 0, expected = 2
SEED 430708145 FAIL: Player's copper = 143, expected = 2
SEED 430708145 FAIL: Player's copper = 133, expected = 2
SEED 1346997168 FAIL: Player's coins increased = 0, expected = 2
SEED 1346997168 FAIL: Player's copper = 31, expected = 2
SEED 1346997168 FAIL: Player's copper = 35, expected = 2
SEED 1346997168 FAIL: Player's copper = 22, expected = 2
SEED 465184330 FAIL: Player's coins increased = 0, expected = 2
SEED 465184330 FAIL: Player's copper = 56, expected = 2
SEED 465184330 FAIL: Player's copper = 69, expected = 2
SEED 28640163 FAIL: Player's coins increased = 0, expected = 2
SEED 28640163 FAIL: Player's copper = 107, expected = 2
SEED 28640163 FAIL: Player's copper = 95, expected = 2
SEED 28640163 FAIL: Player's copper = 101, expected = 2
SEED 1777385652 FAIL: Player's coins increased = 0, expected = 2
SEED 1777385652 FAIL: Player's copper = 156, expected = 2
SEED 1777385652 FAIL: Player's copper = 159, expected = 2
SEED 1505123080 FAIL: Player's coins increased = 0, expected = 2
SEED 1505123080 FAIL: Player's copper = 60, expected = 2
SEED 1505123080 FAIL: Player's copper = 65, expected = 2
SEED 1505123080 FAIL: Player's copper = 52, expected = 2
SEED 1959734872 FAIL: Player's coins increased = 0, expected = 2
SEED 1959734872 FAIL: Player's copper = 147, expected = 2
SEED 1279517531 FAIL: Player's coins increased = 0, expected = 2
SEED 1279517531 FAIL: Player's copper = 8, expected = 2
SEED 2059937478 FAIL: Player's coins increased = 0, expected = 2
SEED 2059937478 FAIL: Player's copper = 117, expected = 2
SEED 2016760492 FAIL: Player's coins increased = 0, expected = 2
SEED 2016760492 FAIL: Player's copper = 23, expected = 2
SEED 2016760492 FAIL: Player's copper = 22, expected = 2
SEED 2016760492 FAIL: Player's copper = 27, expected = 2
SEED 1645626179 FAIL: Player's coins increased = 0, expected = 2
SEED 1645626179 FAIL: Player's copper = 48, expected = 2
SEED 1691170756 FAIL: Player's coins increased = 0, expected = 2
SEED 1691170756 FAIL: Player's copper = 163, expected = 2
SEED 1691170756 FAIL: Player's copper = 164, expected = 2
SEED 1703972777 FAIL: Player's coins increased = 0, expected = 2
SEED 1703972777 FAIL: Player's copper = 65, expected = 2
SEED 61376337 FAIL: Player's coins increased = 0, expected = 2
SEED 61376337 FAIL: Player's copper = 5, expected = 2
SEED 61376337 FAIL: Player's copper = 5, expected = 2
SEED 764728172 FAIL: Player's coins increased = 0, expected = 2
SEED 764728172 FAIL: Player's copper = 16, expected = 2
SEED 764728172 FAIL: Player's copper = 14, expected = 2
SEED 764728172 FAIL: Player's copper = 14, expected = 2
SEED 1409935972 FAIL: Player's coins increased = 0, expected = 2
SEED 1409935972 FAIL: Player's copper = 188, expected = 2
SEED 1870097604 FAIL: Player's coins increased = 0, expected = 2
SEED 1870097604 FAIL: Player's copper = 139, expected = 2
SEED 1870097604 FAIL: Player's copper = 132, expected = 2
SEED 1870097604 FAIL: Player's copper = 127, expected = 2
SEED 998207804 FAIL: Player's coins increased = -1, expected = 2
SEED 998207804 FAIL: Player's copper = 81, expected = 2
SEED 998207804 FAIL: Player's copper = 82, expected = 2
SEED 998207804 FAIL: Player's copper = 86, expected = 2
SEED 398754562 FAIL: Player's coins increased = 0, expected = 2
SEED 398754562 FAIL: Player's copper = 107, expected = 2
SEED 398754562 FAIL: Player's copper = 123, expected = 2
SEED 1106238807 FAIL: Player's coins increased = 0, expected = 2
SEED 1106238807 FAIL: Player's copper = 104, expected = 2
SEED 1106238807 FAIL: Player's copper = 112, expected = 2
SEED 1760553442 FAIL: Player's coins increased = 0, expected = 2
SEED 1760553442 FAIL: Player's copper = 123, expected = 2
SEED 1760553442 FAIL: Player's copper = 116, expected = 2
SEED 1745254094 FAIL: Player's coins increased = 0, expected = 2
SEED 1745254094 FAIL: Player's copper = 88, expected = 2
SEED 1745254094 FAIL: Player's copper = 80, expected = 2
SEED 1745254094 FAIL: Player's copper = 87, expected = 2
SEED 1039121974 FAIL: Player's coins increased = 0, expected = 2
SEED 1039121974 FAIL: Player's copper = 146, expected = 2
SEED 909759183 FAIL: Player's coins increased = 0, expected = 2
SEED 909759183 FAIL: Player's copper = 54, expected = 2
SEED 909759183 FAIL: Player's copper = 60, expected = 2
SEED 435674339 FAIL: Player's coins increased = 0, expected = 2
SEED 435674339 FAIL: Player's copper = 42, expected = 2
SEED 435674339 FAIL: Player's copper = 41, expected = 2
